127.0.0.1 - - [29/Jul/2021:09:58:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/vendors/owl-carousel/owl.theme.default.min.css HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/vendors/owl-carousel/owl.carousel.min.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/css/style.css HTTP/1.1" 200 87844
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/vendors/nice-select/nice-select.css HTTP/1.1" 200 4145
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/vendors/bootstrap/bootstrap.bundle.min.js HTTP/1.1" 200 70972
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/vendors/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86663
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/vendors/owl-carousel/owl.carousel.min.js HTTP/1.1" 200 44348
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/vendors/nice-select/jquery.nice-select.min.js HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/vendors/skrollr.min.js HTTP/1.1" 200 12616
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/js/main.js HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/vendors/mail-script.js HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/vendors/jquery.ajaxchimp.min.js HTTP/1.1" 200 4939
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/img/logo.png HTTP/1.1" 200 30241
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/vendors/themify-icons/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:36 +0900] "GET /littlePick/resources/vendors/fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79100
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:05:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:28 +0900] "GET /littlePick/order.do HTTP/1.1" 200 10169
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/vendors/bootstrap/bootstrap.min.css HTTP/1.1" 200 140942
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/vendors/fontawesome/css/all.min.css HTTP/1.1" 200 53592
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/vendors/nice-select/nice-select.css HTTP/1.1" 200 4145
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/vendors/themify-icons/themify-icons.css HTTP/1.1" 200 17516
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/vendors/owl-carousel/owl.carousel.min.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/vendors/owl-carousel/owl.theme.default.min.css HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/css/style.css HTTP/1.1" 200 87844
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/img/logo.png HTTP/1.1" 200 30241
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/vendors/bootstrap/bootstrap.bundle.min.js HTTP/1.1" 200 70972
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/vendors/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86663
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/vendors/owl-carousel/owl.carousel.min.js HTTP/1.1" 200 44348
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/vendors/skrollr.min.js HTTP/1.1" 200 12616
0:0:0:0:0:0:0:1 - - [29/Jul/2021:10:06:29 +0900] "GET /littlePick/resources/vendors/nice-select/jquery.nice-select.min.js HTTP/1.1" 200 2945
